Name, Sex, Age, Distance Run, Average Speed, Race Time
Vivian Steuber, male, 12, 9.324, 9.8, 0.9514285714285713
Johanna Olson, male, 18, 9.324, 9.57, 0.974294670846395
Glen Barrows, male, 83, 8.904, 8.94, 0.9959731543624162
Don Nikolaus, male, 86, 8.904, 8.57, 1.0389731621936988
Winifred Kohler, male, 89, 8.904, 8.24, 1.0805825242718445
Paula Hane, male, 78, 10.909, 9.87, 1.1052684903748735
Terrance Wolff, male, 81, 8.904, 7.66, 1.162402088772846
Colin Gislason, male, 86, 8.904, 7.6, 1.171578947368421
Lela MacGyver, male, 78, 10.909, 9.25, 1.1793513513513514
Ramon Rowe, male, 17, 9.324, 7.74, 1.2046511627906977
Annette VonRueden, male, 45, 14.268, 11.81, 1.2081287044877222
Cathy Schroeder, male, 87, 8.904, 7.26, 1.2264462809917356
Holly Fritsch III, male, 87, 8.904, 7.17, 1.2418410041841004
Tim Mohr, male, 17, 9.324, 7.5, 1.2432
Joshua Welch, male, 49, 14.268, 11.08, 1.2877256317689532
Jennifer Schuppe, male, 53, 13.22, 10.14, 1.3037475345167653
Arnold Herman, male, 76, 10.909, 8.2, 1.3303658536585368
Alfredo Hermann, male, 82, 8.904, 6.39, 1.3934272300469484
Mr. Gerald Shields, male, 46, 14.268, 9.96, 1.4325301204819276
Robyn Gulgowski, male, 75, 10.909, 7.61, 1.433508541392904
Jonathon Ebert, male, 12, 9.324, 6.5, 1.4344615384615385
Christina DuBuque, male, 40, 14.268, 9.9, 1.4412121212121212
Tamara Keeling, male, 16, 9.324, 6.41, 1.4546021840873635
Ralph Reinger, male, 10, 9.324, 6.34, 1.4706624605678233
Isaac Boyer-Dooley, male, 19, 9.324, 6.28, 1.4847133757961783
Agnes Brekke, male, 42, 14.268, 9.46, 1.508245243128964
Alfonso Bogan, male, 47, 14.268, 9.39, 1.5194888178913737
Johnny Marvin, male, 80, 8.904, 5.85, 1.5220512820512822
Zachary O'Kon, male, 54, 13.22, 8.61, 1.5354239256678284
Andre Conn Sr., male, 72, 10.909, 7.07, 1.542998585572843
Wilbur Feil, male, 14, 9.324, 6.02, 1.5488372093023257
